timeStamp;sensorLabel;sensorCode;activatedZone;personStateAnnotation;personStateResult
05-May-2015 15:12:42;sas;4;3;;AL
05-May-2015 15:12:47;sas;4;3;;AL
05-May-2015 15:12:52;sas;4;3;;AL
05-May-2015 15:12:53;Lit H;1;2;;AL
05-May-2015 15:12:53;Lit L;2;2;;AL
05-May-2015 15:13:02;Lit L;2;2;;AL
05-May-2015 15:13:04;Lit H;1;2;;AL
05-May-2015 15:13:08;Lit L;2;2;;AL
05-May-2015 15:13:09;Lit H;1;2;;AL
05-May-2015 15:13:09;sde;5;1;;AL
05-May-2015 15:13:15;sde;5;1;;AL
05-May-2015 15:13:20;sde;5;1;;AL
05-May-2015 15:13:25;sde;5;1;;AL
05-May-2015 15:13:30;sde;5;1;;AL
05-May-2015 15:13:33;Lit H;1;2;;AL
05-May-2015 15:13:34;Lit L;2;2;;AL
05-May-2015 15:13:39;Lit L;2;2;;AL
05-May-2015 15:13:47;Lit L;2;2;;AL
05-May-2015 15:13:48;Lit H;1;2;;AL
05-May-2015 15:13:49;sas;4;3;;AL
05-May-2015 15:13:59;sas;4;3;;AL
05-May-2015 15:14:05;sas;4;3;;AL
05-May-2015 15:14:10;sas;4;3;;AL
05-May-2015 15:14:15;sas;4;3;;AL
05-May-2015 15:14:20;sas;4;3;;AL
05-May-2015 15:14:27;sas;4;3;;AL
05-May-2015 15:14:32;sas;4;3;;AL
05-May-2015 15:14:45;sas;4;3;;AL
05-May-2015 15:14:52;sas;4;3;;AL
05-May-2015 15:14:57;sas;4;3;;AL
05-May-2015 15:15:03;sas;4;3;;AL
05-May-2015 15:15:08;sas;4;3;;AL
05-May-2015 15:15:13;sas;4;3;;AL
05-May-2015 15:15:14;Lit H;1;2;;AL
05-May-2015 15:15:14;Lit L;2;2;;AL
05-May-2015 15:15:19;Lit H;1;2;;AL
05-May-2015 15:15:19;Lit L;2;2;;AL
05-May-2015 15:15:23;sde;5;1;;AL
05-May-2015 15:15:39;sde;5;1;;AL
05-May-2015 15:15:41;Lit H;1;2;;AL
05-May-2015 15:15:41;Lit L;2;2;;AL
05-May-2015 15:15:44;sas;4;3;;AL
05-May-2015 15:15:46;Lit H;1;2;;AL
05-May-2015 15:15:47;Lit L;2;2;;AL
05-May-2015 15:15:52;Lit H;1;2;;AL
05-May-2015 15:15:52;Lit L;2;2;;AL
05-May-2015 15:15:57;Lit H;1;2;;AL
05-May-2015 15:15:58;Lit L;2;2;;AL
05-May-2015 15:16:22;Lit H;1;2;;AL
05-May-2015 15:16:22;Lit L;2;2;;AL
05-May-2015 15:16:27;sas;4;3;;AL
05-May-2015 15:16:27;Lit L;2;2;;AL
05-May-2015 15:17:18;sas;4;3;;AC
05-May-2015 15:17:22;Lit H;1;2;;AC
05-May-2015 15:17:22;Lit L;2;2;;AC
05-May-2015 15:17:27;Lit H;1;2;;AC
05-May-2015 15:17:28;Lit L;2;2;;AC
05-May-2015 15:17:33;Lit L;2;2;;AC
05-May-2015 15:18:56;Lit L;2;2;;AC
05-May-2015 15:18:57;Lit H;1;2;;AC
05-May-2015 15:18:59;sas;4;3;;AC
05-May-2015 15:19:09;sas;4;3;;AC
05-May-2015 15:19:14;sas;4;3;;AC
05-May-2015 15:19:19;sas;4;3;;AC
05-May-2015 15:19:25;sas;4;3;;AC
05-May-2015 15:19:52;sas;4;3;;AC
05-May-2015 15:19:57;sas;4;3;;AC
05-May-2015 15:20:04;sas;4;3;;AC
05-May-2015 15:20:12;sas;4;3;;AC
05-May-2015 15:20:19;sas;4;3;;AC
05-May-2015 15:20:24;sas;4;3;;AC
05-May-2015 15:20:30;sas;4;3;;AC
05-May-2015 15:20:35;sas;4;3;;AC
05-May-2015 15:20:40;sas;4;3;;AC
